Course code	Course title	Unit	Level	Lesson	Challenge type	Prompt	Correct answer
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Vocabulary Sprint	SELECT	Which Malay word or phrase means “hello”? Listen, choose, and say it aloud.	hai
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Vocabulary Sprint	SELECT	Which Malay word or phrase means “good morning”? Listen, choose, and say it aloud.	selamat pagi
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Vocabulary Sprint	SELECT	Which Malay word or phrase means “good afternoon”? Listen, choose, and say it aloud.	selamat tengah hari
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Vocabulary Sprint	ASSIST	Which Malay word or phrase means “good evening”? Listen, choose, and say it aloud.	selamat petang
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Vocabulary Sprint	SELECT	Which Malay word or phrase means “good night”? Listen, choose, and say it aloud.	selamat malam
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Vocabulary Sprint	SELECT	Which Malay word or phrase means “thank you”? Listen, choose, and say it aloud.	terima kasih
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Vocabulary Sprint	SELECT	Which Malay word or phrase means “please / help”? Listen, choose, and say it aloud.	tolong
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Vocabulary Sprint	ASSIST	Which Malay word or phrase means “sorry”? Listen, choose, and say it aloud.	maaf
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Vocabulary Sprint	SELECT	Which Malay word or phrase means “excuse me; may I ask”? Listen, choose, and say it aloud.	tumpang tanya
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Vocabulary Sprint	SELECT	Which Malay word or phrase means “see you again”? Listen, choose, and say it aloud.	jumpa lagi
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Daily Speaking Sentences	SELECT	SPEAKING SCENARIO / Ask a new friend for their name. / Choose the best Malay response, then say it aloud.	Nama awak siapa?
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Daily Speaking Sentences	SELECT	SPEAKING SCENARIO / Introduce yourself as Amina. / Choose the best Malay response, then say it aloud.	Nama saya Amina.
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Daily Speaking Sentences	ASSIST	SPEAKING SCENARIO / Ask how someone is. / Choose the best Malay response, then say it aloud.	Apa khabar?
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Daily Speaking Sentences	SELECT	SPEAKING SCENARIO / Say that you are well and thank the person. / Choose the best Malay response, then say it aloud.	Khabar baik, terima kasih.
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Daily Speaking Sentences	SELECT	SPEAKING SCENARIO / Ask where someone is from. / Choose the best Malay response, then say it aloud.	Awak dari mana?
MRLC-MALAY-SPEAKING-A1-C1-V1	Malay Speaking: Beginner to Advanced	A1 · Unit 1: Greetings and Introductions	A1	Daily Speaking Sentences	ASSIST	SPEAKING SCENARIO / Say that you are from Myanmar. / Choose the best Malay response, then say it aloud.	Saya dari Myanmar.
