unit	unit_title	lesson	lesson_title	challenge	type	prompt	correct_answer	source_pages
1	Foundation: Sounds and Survival Malay	1	Vocabulary Builder	1	SELECT	"Choose the Malay word or phrase for ""good morning""."	Selamat pagi	10-13
1	Foundation: Sounds and Survival Malay	1	Vocabulary Builder	2	ASSIST	"Choose the Malay word or phrase for ""thank you""."	Terima kasih	10-13
1	Foundation: Sounds and Survival Malay	1	Vocabulary Builder	3	SELECT	"Choose the Malay word or phrase for ""sorry / excuse me""."	Maaf	10-13
1	Foundation: Sounds and Survival Malay	1	Vocabulary Builder	4	ASSIST	"Choose the Malay word or phrase for ""please / help""."	Tolong	10-13
1	Foundation: Sounds and Survival Malay	1	Vocabulary Builder	5	SELECT	"Choose the Malay word or phrase for ""yes""."	Ya	10-13
1	Foundation: Sounds and Survival Malay	1	Vocabulary Builder	6	ASSIST	"Choose the Malay word or phrase for ""no""."	Tidak	10-13
1	Foundation: Sounds and Survival Malay	2	Core Conversation	1	ASSIST	"Choose the best Malay line for ""How are you?""."	Apa khabar?	10-13
1	Foundation: Sounds and Survival Malay	2	Core Conversation	2	SELECT	"Choose the best Malay line for ""I am fine.""."	Khabar baik.	10-13
1	Foundation: Sounds and Survival Malay	2	Core Conversation	3	ASSIST	"Choose the best Malay line for ""Could you repeat that?""."	Boleh ulang sekali lagi?	10-13
1	Foundation: Sounds and Survival Malay	2	Core Conversation	4	SELECT	"Choose the best Malay line for ""Please speak more slowly.""."	Tolong cakap lebih perlahan.	10-13
1	Foundation: Sounds and Survival Malay	2	Core Conversation	5	ASSIST	"Choose the best Malay line for ""I do not understand.""."	Saya tidak faham.	10-13
1	Foundation: Sounds and Survival Malay	2	Core Conversation	6	SELECT	"Choose the best Malay line for ""How is it pronounced?""."	Bagaimana sebutannya?	10-13
1	Foundation: Sounds and Survival Malay	3	Sentence Practice	1	ASSIST	"Choose the correct Malay sentence for ""My name is Lina.""."	Nama saya Lina.	10-13
1	Foundation: Sounds and Survival Malay	3	Sentence Practice	2	SELECT	"Choose the correct Malay sentence for ""I am learning Malay.""."	Saya sedang belajar Bahasa Melayu.	10-13
1	Foundation: Sounds and Survival Malay	3	Sentence Practice	3	ASSIST	"Choose the correct Malay sentence for ""May I ask a question?""."	Boleh saya tanya?	10-13
1	Foundation: Sounds and Survival Malay	3	Sentence Practice	4	SELECT	"Choose the correct Malay sentence for ""I understand a little.""."	Saya faham sedikit.	10-13
1	Foundation: Sounds and Survival Malay	3	Sentence Practice	5	ASSIST	"Choose the correct Malay sentence for ""What does this word mean?""."	Apa maksud perkataan ini?	10-13
1	Foundation: Sounds and Survival Malay	3	Sentence Practice	6	SELECT	"Choose the correct Malay sentence for ""Please listen and repeat.""."	Sila dengar dan ulang.	10-13
1	Foundation: Sounds and Survival Malay	4	Daily Speaking Scenario	1	SELECT	"What should you say in Malay for: ""Could you help me?"""	Boleh anda bantu saya?	10-13
1	Foundation: Sounds and Survival Malay	4	Daily Speaking Scenario	2	ASSIST	"What should you say in Malay for: ""Where is the toilet?"""	Di mana tandas?	10-13
1	Foundation: Sounds and Survival Malay	4	Daily Speaking Scenario	3	SELECT	"What should you say in Malay for: ""How much is this?"""	Berapa harga ini?	10-13
1	Foundation: Sounds and Survival Malay	4	Daily Speaking Scenario	4	ASSIST	"What should you say in Malay for: ""I would like water."""	Saya mahu air.	10-13
1	Foundation: Sounds and Survival Malay	4	Daily Speaking Scenario	5	SELECT	"What should you say in Malay for: ""Please write it down."""	Tolong tuliskan.	10-13
1	Foundation: Sounds and Survival Malay	4	Daily Speaking Scenario	6	ASSIST	"What should you say in Malay for: ""See you again."""	Jumpa lagi.	10-13
2	01 Welcome to Malaysia	1	Vocabulary Builder	1	SELECT	"Choose the Malay word or phrase for ""welcome""."	selamat datang	14-23
2	01 Welcome to Malaysia	1	Vocabulary Builder	2	ASSIST	"Choose the Malay word or phrase for ""name""."	nama	14-23
2	01 Welcome to Malaysia	1	Vocabulary Builder	3	SELECT	"Choose the Malay word or phrase for ""from""."	dari	14-23
2	01 Welcome to Malaysia	1	Vocabulary Builder	4	ASSIST	"Choose the Malay word or phrase for ""country""."	negara	14-23
2	01 Welcome to Malaysia	1	Vocabulary Builder	5	SELECT	"Choose the Malay word or phrase for ""person / people""."	orang	14-23
2	01 Welcome to Malaysia	1	Vocabulary Builder	6	ASSIST	"Choose the Malay word or phrase for ""to meet / become acquainted""."	berkenalan	14-23
2	01 Welcome to Malaysia	2	Core Conversation	1	ASSIST	"Choose the best Malay line for ""Welcome to Malaysia.""."	Selamat datang ke Malaysia.	14-23
2	01 Welcome to Malaysia	2	Core Conversation	2	SELECT	"Choose the best Malay line for ""What is your name?""."	Siapa nama anda?	14-23
2	01 Welcome to Malaysia	2	Core Conversation	3	ASSIST	"Choose the best Malay line for ""My name is Amina.""."	Nama saya Amina.	14-23
2	01 Welcome to Malaysia	2	Core Conversation	4	SELECT	"Choose the best Malay line for ""Where are you from?""."	Anda dari mana?	14-23
2	01 Welcome to Malaysia	2	Core Conversation	5	ASSIST	"Choose the best Malay line for ""I am from Myanmar.""."	Saya dari Myanmar.	14-23
2	01 Welcome to Malaysia	2	Core Conversation	6	SELECT	"Choose the best Malay line for ""Pleased to meet you.""."	Gembira berkenalan dengan anda.	14-23
2	01 Welcome to Malaysia	3	Sentence Practice	1	ASSIST	"Choose the correct Malay sentence for ""I am Malaysian.""."	Saya orang Malaysia.	14-23
2	01 Welcome to Malaysia	3	Sentence Practice	2	SELECT	"Choose the correct Malay sentence for ""She is from Singapore.""."	Dia dari Singapura.	14-23
2	01 Welcome to Malaysia	3	Sentence Practice	3	ASSIST	"Choose the correct Malay sentence for ""This is Mr Rahman.""."	Ini Encik Rahman.	14-23
2	01 Welcome to Malaysia	3	Sentence Practice	4	SELECT	"Choose the correct Malay sentence for ""Are you a student?""."	Adakah anda pelajar?	14-23
2	01 Welcome to Malaysia	3	Sentence Practice	5	ASSIST	"Choose the correct Malay sentence for ""Yes, that is correct.""."	Ya, betul.	14-23
2	01 Welcome to Malaysia	3	Sentence Practice	6	SELECT	"Choose the correct Malay sentence for ""No, I am a teacher.""."	Bukan, saya guru.	14-23
2	01 Welcome to Malaysia	4	Daily Speaking Scenario	1	SELECT	"What should you say in Malay for: ""Greet a guest in the morning."""	Selamat pagi.	14-23
2	01 Welcome to Malaysia	4	Daily Speaking Scenario	2	ASSIST	"What should you say in Malay for: ""Introduce your friend Farid."""	Ini kawan saya, Farid.	14-23
2	01 Welcome to Malaysia	4	Daily Speaking Scenario	3	SELECT	"What should you say in Malay for: ""Ask a visitor where they come from."""	Anda datang dari mana?	14-23
2	01 Welcome to Malaysia	4	Daily Speaking Scenario	4	ASSIST	"What should you say in Malay for: ""Say that you are from Kuala Lumpur."""	Saya dari Kuala Lumpur.	14-23
2	01 Welcome to Malaysia	4	Daily Speaking Scenario	5	SELECT	"What should you say in Malay for: ""Ask whether someone is Ms Sofia."""	Adakah anda Cik Sofia?	14-23
2	01 Welcome to Malaysia	4	Daily Speaking Scenario	6	ASSIST	"What should you say in Malay for: ""End a first meeting politely."""	Selamat berkenalan.	14-23
3	02 Arrivals	1	Vocabulary Builder	1	SELECT	"Choose the Malay word or phrase for ""luggage""."	bagasi	24-34
3	02 Arrivals	1	Vocabulary Builder	2	ASSIST	"Choose the Malay word or phrase for ""passport""."	pasport	24-34
3	02 Arrivals	1	Vocabulary Builder	3	SELECT	"Choose the Malay word or phrase for ""airport""."	lapangan terbang	24-34
3	02 Arrivals	1	Vocabulary Builder	4	ASSIST	"Choose the Malay word or phrase for ""taxi""."	teksi	24-34
3	02 Arrivals	1	Vocabulary Builder	5	SELECT	"Choose the Malay word or phrase for ""hotel""."	hotel	24-34
3	02 Arrivals	1	Vocabulary Builder	6	ASSIST	"Choose the Malay word or phrase for ""address""."	alamat	24-34
3	02 Arrivals	2	Core Conversation	1	ASSIST	"Choose the best Malay line for ""Is this your luggage?""."	Adakah ini bagasi anda?	24-34
3	02 Arrivals	2	Core Conversation	2	SELECT	"Choose the best Malay line for ""Yes, this is my luggage.""."	Ya, ini bagasi saya.	24-34
3	02 Arrivals	2	Core Conversation	3	ASSIST	"Choose the best Malay line for ""I need a taxi.""."	Saya perlukan teksi.	24-34
3	02 Arrivals	2	Core Conversation	4	SELECT	"Choose the best Malay line for ""Please take me to this hotel.""."	Tolong hantarkan saya ke hotel ini.	24-34
3	02 Arrivals	2	Core Conversation	5	ASSIST	"Choose the best Malay line for ""What is the fare?""."	Berapa tambangnya?	24-34
3	02 Arrivals	2	Core Conversation	6	SELECT	"Choose the best Malay line for ""My luggage is outside.""."	Bagasi saya di luar.	24-34
3	02 Arrivals	3	Sentence Practice	1	ASSIST	"Choose the correct Malay sentence for ""This is my passport.""."	Ini pasport saya.	24-34
3	02 Arrivals	3	Sentence Practice	2	SELECT	"Choose the correct Malay sentence for ""That is her bag.""."	Itu beg dia.	24-34
3	02 Arrivals	3	Sentence Practice	3	ASSIST	"Choose the correct Malay sentence for ""The taxi has arrived.""."	Teksi sudah sampai.	24-34
3	02 Arrivals	3	Sentence Practice	4	SELECT	"Choose the correct Malay sentence for ""The flight has not arrived yet.""."	Penerbangan belum tiba.	24-34
3	02 Arrivals	3	Sentence Practice	5	ASSIST	"Choose the correct Malay sentence for ""Where do you want to go?""."	Anda mahu pergi ke mana?	24-34
3	02 Arrivals	3	Sentence Practice	6	SELECT	"Choose the correct Malay sentence for ""I have just arrived from Bangkok.""."	Saya baru tiba dari Bangkok.	24-34
3	02 Arrivals	4	Daily Speaking Scenario	1	SELECT	"What should you say in Malay for: ""Tell the driver your destination."""	Saya mahu pergi ke Hotel Sentral.	24-34
3	02 Arrivals	4	Daily Speaking Scenario	2	ASSIST	"What should you say in Malay for: ""Ask where the baggage counter is."""	Di mana kaunter bagasi?	24-34
3	02 Arrivals	4	Daily Speaking Scenario	3	SELECT	"What should you say in Malay for: ""Say your suitcase is missing."""	Beg pakaian saya hilang.	24-34
3	02 Arrivals	4	Daily Speaking Scenario	4	ASSIST	"What should you say in Malay for: ""Ask whether the taxi uses a meter."""	Teksi ini ada meter?	24-34
3	02 Arrivals	4	Daily Speaking Scenario	5	SELECT	"What should you say in Malay for: ""Give your hotel address."""	Ini alamat hotel saya.	24-34
3	02 Arrivals	4	Daily Speaking Scenario	6	ASSIST	"What should you say in Malay for: ""Ask for help with your bag."""	Boleh bantu saya dengan beg ini?	24-34
4	03 Tell Me More About Yourself	1	Vocabulary Builder	1	SELECT	"Choose the Malay word or phrase for ""occupation""."	pekerjaan	35-49
4	03 Tell Me More About Yourself	1	Vocabulary Builder	2	ASSIST	"Choose the Malay word or phrase for ""language""."	bahasa	35-49
4	03 Tell Me More About Yourself	1	Vocabulary Builder	3	SELECT	"Choose the Malay word or phrase for ""family""."	keluarga	35-49
4	03 Tell Me More About Yourself	1	Vocabulary Builder	4	ASSIST	"Choose the Malay word or phrase for ""wife""."	isteri	35-49
4	03 Tell Me More About Yourself	1	Vocabulary Builder	5	SELECT	"Choose the Malay word or phrase for ""husband""."	suami	35-49
4	03 Tell Me More About Yourself	1	Vocabulary Builder	6	ASSIST	"Choose the Malay word or phrase for ""single""."	bujang	35-49
4	03 Tell Me More About Yourself	2	Core Conversation	1	ASSIST	"Choose the best Malay line for ""What is your occupation?""."	Apakah pekerjaan anda?	35-49
4	03 Tell Me More About Yourself	2	Core Conversation	2	SELECT	"Choose the best Malay line for ""I work as a nurse.""."	Saya bekerja sebagai jururawat.	35-49
4	03 Tell Me More About Yourself	2	Core Conversation	3	ASSIST	"Choose the best Malay line for ""What languages can you speak?""."	Anda boleh bertutur dalam bahasa apa?	35-49
4	03 Tell Me More About Yourself	2	Core Conversation	4	SELECT	"Choose the best Malay line for ""I can speak three languages.""."	Saya boleh bertutur dalam tiga bahasa.	35-49
4	03 Tell Me More About Yourself	2	Core Conversation	5	ASSIST	"Choose the best Malay line for ""Are you married?""."	Adakah anda sudah berkahwin?	35-49
4	03 Tell Me More About Yourself	2	Core Conversation	6	SELECT	"Choose the best Malay line for ""I am still single.""."	Saya masih bujang.	35-49
4	03 Tell Me More About Yourself	3	Sentence Practice	1	ASSIST	"Choose the correct Malay sentence for ""She is already married.""."	Dia sudah berkahwin.	35-49
4	03 Tell Me More About Yourself	3	Sentence Practice	2	SELECT	"Choose the correct Malay sentence for ""They do not have children yet.""."	Mereka belum mempunyai anak.	35-49
4	03 Tell Me More About Yourself	3	Sentence Practice	3	ASSIST	"Choose the correct Malay sentence for ""I am still learning Malay.""."	Saya masih belajar Bahasa Melayu.	35-49
4	03 Tell Me More About Yourself	3	Sentence Practice	4	SELECT	"Choose the correct Malay sentence for ""He comes from Brunei.""."	Dia berasal dari Brunei.	35-49
4	03 Tell Me More About Yourself	3	Sentence Practice	5	ASSIST	"Choose the correct Malay sentence for ""I learned Malay from my friend.""."	Saya belajar Bahasa Melayu daripada kawan saya.	35-49
4	03 Tell Me More About Yourself	3	Sentence Practice	6	SELECT	"Choose the correct Malay sentence for ""My wife is from Singapore.""."	Isteri saya berasal dari Singapura.	35-49
4	03 Tell Me More About Yourself	4	Daily Speaking Scenario	1	SELECT	"What should you say in Malay for: ""Ask someone what they do for work."""	Anda bekerja sebagai apa?	35-49
4	03 Tell Me More About Yourself	4	Daily Speaking Scenario	2	ASSIST	"What should you say in Malay for: ""Say you are a full-time student."""	Saya pelajar sepenuh masa.	35-49
4	03 Tell Me More About Yourself	4	Daily Speaking Scenario	3	SELECT	"What should you say in Malay for: ""Say you speak a little Malay."""	Saya boleh bertutur sedikit Bahasa Melayu.	35-49
4	03 Tell Me More About Yourself	4	Daily Speaking Scenario	4	ASSIST	"What should you say in Malay for: ""Ask how many languages someone speaks."""	Anda boleh bertutur dalam berapa bahasa?	35-49
4	03 Tell Me More About Yourself	4	Daily Speaking Scenario	5	SELECT	"What should you say in Malay for: ""Say you have two children."""	Saya mempunyai dua orang anak.	35-49
4	03 Tell Me More About Yourself	4	Daily Speaking Scenario	6	ASSIST	"What should you say in Malay for: ""Ask where someone was born."""	Anda dilahirkan di mana?	35-49
5	04 At Work and at School	1	Vocabulary Builder	1	SELECT	"Choose the Malay word or phrase for ""secretary""."	setiausaha	50-64
5	04 At Work and at School	1	Vocabulary Builder	2	ASSIST	"Choose the Malay word or phrase for ""school""."	sekolah	50-64
5	04 At Work and at School	1	Vocabulary Builder	3	SELECT	"Choose the Malay word or phrase for ""skill""."	kemahiran	50-64
5	04 At Work and at School	1	Vocabulary Builder	4	ASSIST	"Choose the Malay word or phrase for ""experience""."	pengalaman	50-64
5	04 At Work and at School	1	Vocabulary Builder	5	SELECT	"Choose the Malay word or phrase for ""salary""."	gaji	50-64
5	04 At Work and at School	1	Vocabulary Builder	6	ASSIST	"Choose the Malay word or phrase for ""full-time""."	sepenuh masa	50-64
5	04 At Work and at School	2	Core Conversation	1	ASSIST	"Choose the best Malay line for ""Please sit down.""."	Sila duduk.	50-64
5	04 At Work and at School	2	Core Conversation	2	SELECT	"Choose the best Malay line for ""Where did you study?""."	Di mana anda belajar?	50-64
5	04 At Work and at School	2	Core Conversation	3	ASSIST	"Choose the best Malay line for ""What skills do you have?""."	Apakah kemahiran anda?	50-64
5	04 At Work and at School	2	Core Conversation	4	SELECT	"Choose the best Malay line for ""Can you use a computer?""."	Bolehkah anda menggunakan komputer?	50-64
5	04 At Work and at School	2	Core Conversation	5	ASSIST	"Choose the best Malay line for ""When can you start work?""."	Bilakah anda boleh mula bekerja?	50-64
5	04 At Work and at School	2	Core Conversation	6	SELECT	"Choose the best Malay line for ""How much salary do you expect?""."	Berapa gaji yang anda harapkan?	50-64
