course_unit	source_section	source_pages	learning_objectives	modernization
1	Pronunciation guide	10-13	Recognise standard Malay sound patterns; ask for repetition; use essential survival phrases.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
2	Chapter 1: Welcome to Malaysia	14-23	Greet people; introduce yourself and others; say where you come from.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
3	Chapter 2: Arrivals	24-34	Use informal yes/no questions; show possession; manage a simple arrival.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
4	Chapter 3: Tell Me More About Yourself	35-49	Give information about yourself; ask about others; discuss languages and family status.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
5	Chapter 4: At Work and at School	50-64	Discuss work and education; ask about skills; make polite requests.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
6	Chapter 5: Meet the Family	65-86	Introduce family members; ask about relationships and age; describe where people live.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
7	Chapter 6: Sightseeing	87-108	Ask what there is to see and do; tell time; use numbers and days in schedules.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
8	Chapter 7: Invitations	109-121	Invite someone; accept or decline politely; give reasons; say months and dates.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
9	Chapter 8: Directions	122-130	Ask for directions; follow route instructions; describe the location of a place.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
10	Chapter 9: Changing Money	131-143	Change money; understand large numbers; express prices and measurements.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
11	Chapter 10: Getting Around	144-157	Buy travel tickets; discuss transport; use time and duration expressions.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
12	Chapter 11: Checking In	158-169	Get a hotel room; ask about services; discuss usual routines.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
13	Chapter 12: Bargain Hunting	170-189	Shop for clothes; discuss size, colour, and material; negotiate a price politely.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
14	Chapter 13: Eating Out	190-204	Understand a Malay menu; order food; state allergies and preferences.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
15	Chapter 14: At the Supermarket	205-217	Shop for food; use quantities and classifiers; understand a simple recipe.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
16	Chapter 15: Hobbies and Leisure	218-232	Discuss leisure interests in detail; express preference; say how long an activity has continued.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
17	Chapter 16: At the Doctor	233-249	Explain symptoms; understand basic medical instructions; make an appointment by telephone.	Standard modern Malaysian spelling; current currency, transport, technology, and civilian contexts; concise speaking-first activities.
