Grade	Course	Broad standards domains	Units	Lessons	Challenges
K	Kindergarten Mathematics	K.CC; K.OA; K.NBT; K.MD; K.G	8	24	144
1	Grade 1 Mathematics	1.OA; 1.NBT; 1.MD; 1.G	8	24	144
2	Grade 2 Mathematics	2.OA; 2.NBT; 2.MD; 2.G	8	24	144
3	Grade 3 Mathematics	3.OA; 3.NBT; 3.NF; 3.MD; 3.G	8	24	144
4	Grade 4 Mathematics	4.OA; 4.NBT; 4.NF; 4.MD; 4.G	8	24	144
5	Grade 5 Mathematics	5.OA; 5.NBT; 5.NF; 5.MD; 5.G	8	24	144
6	Grade 6 Mathematics	6.RP; 6.NS; 6.EE; 6.G; 6.SP	8	24	144
7	Grade 7 Mathematics	7.RP; 7.NS; 7.EE; 7.G; 7.SP	8	24	144
8	Grade 8 Mathematics	8.NS; 8.EE; 8.F; 8.G; 8.SP	8	24	144
9	Grade 9 Mathematics: Algebra I	N-Q; A-SSE; A-CED; A-REI; F-IF; S-ID	8	24	144
10	Grade 10 Mathematics: Geometry	G-CO; G-SRT; G-GPE; G-C; G-GMD; S-CP	8	24	144
11	Grade 11 Mathematics: Algebra II	A-APR; A-REI; F-IF; F-BF; F-LE; S-ID; S-CP	8	24	144
12	Grade 12 Mathematics: Precalculus and Calculus Readiness	F-TF; N-VM; A-APR; S-MD; Precalculus/Calculus extension	8	24	144
